time_delta;DURATION;START
1;79 days 18:00:00;2022-03-28 08:00:00
2;241 days 00:00:00;2023-01-16 06:00:00
3;241 days 00:00:00;2023-01-16 06:00:00
4;356 days 22:00:00;2023-01-16 06:00:00
5;356 days 22:00:00;2023-01-16 06:00:00
6;356 days 22:00:00;2023-01-16 06:00:00
7;356 days 22:00:00;2023-01-16 06:00:00
8;356 days 22:00:00;2023-01-16 06:00:00
9;356 days 22:00:00;2023-01-16 06:00:00
10;399 days 23:00:00;2023-01-16 06:00:00
11;399 days 23:00:00;2023-01-16 06:00:00
12;399 days 23:00:00;2023-01-16 06:00:00
13;399 days 23:00:00;2023-01-16 06:00:00
14;399 days 23:00:00;2023-01-16 06:00:00
15;399 days 23:00:00;2023-01-16 06:00:00
16;399 days 23:00:00;2023-01-16 06:00:00
17;399 days 23:00:00;2023-01-16 06:00:00
18;399 days 23:00:00;2023-01-16 06:00:00
19;399 days 23:00:00;2023-01-16 06:00:00
20;399 days 23:00:00;2023-01-16 06:00:00
21;399 days 23:00:00;2023-01-16 06:00:00
22;399 days 23:00:00;2023-01-16 06:00:00
23;399 days 23:00:00;2023-01-16 06:00:00
24;399 days 23:00:00;2023-01-16 06:00:00
