,Station,Parameter,Depth,start_train,end_train,len_train,n_epochs,t_loss,v_loss,thresh
0,Fehmarn Belt Buoy,WT,1.0,2023080821,2023090502,653.0,13,0.20107751432806253,0.21983833611011505,2.1812
1,Fehmarn Belt Buoy,WT,3.0,2023080821,2023090502,653.0,15,0.19011155795305967,0.15513139963150024,1.6952
2,Fehmarn Belt Buoy,WT,6.0,2023090711,2023092110,335.0,15,0.16131990402936935,0.034258536994457245,0.2488
3,Fehmarn Belt Buoy,WT,15.0,2023071913,2023073113,288.0,21,0.12623492140846793,0.2511259913444519,1.559
4,Fehmarn Belt Buoy,WT,20.0,2022061612,2022071715,747.0,13,0.15611599634091058,2.1215343475341797,19.2919
5,Fehmarn Belt Buoy,WT,24.0,2022071912,2022072717,197.0,33,0.04912555761014422,0.4930681586265564,2.5092
6,Fehmarn Belt Buoy,SZ,3.0,2023092113,2023100415,314.0,19,0.1659434800967574,1.2580269575119019,10.0346
7,Fehmarn Belt Buoy,SZ,6.0,2023090711,2023091717,246.0,20,0.13344417264064154,0.15205933153629303,0.8487
8,Fehmarn Belt Buoy,SZ,10.0,2023090711,2023092108,333.0,11,0.25129231065511703,0.03214466944336891,0.2183
9,Fehmarn Belt Buoy,SZ,15.0,2022112216,2022120114,214.0,30,0.09830767256789841,0.19490905106067657,1.1137
10,Fehmarn Belt Buoy,SZ,20.0,2022061612,2022071415,675.0,14,0.2919488681687249,0.5452604293823242,4.1664
11,Fehmarn Belt Buoy,SZ,24.0,2020062900,2020070613,181.0,40,0.014640047680586576,0.14931495487689972,0.865
12,Kiel Lighthouse,WT,0.5,2023051608,2023061323,687.0,11,0.39946357688556117,0.3055059313774109,2.135
13,Kiel Lighthouse,WT,1.0,2023051608,2023061323,687.0,11,0.40490963247915107,0.3012934625148773,2.6914
14,Kiel Lighthouse,WT,2.0,2021041710,2021061709,1463.0,13,0.1460555876708693,1.5731466840952635,47.1672
15,Kiel Lighthouse,WT,4.0,2021041710,2021061110,1320.0,13,0.1705529398339636,1.956231713294983,19.7604
16,Kiel Lighthouse,WT,8.0,2022060710,2022070709,719.0,15,0.1793173174891207,0.9391545653343201,7.7332
17,Kiel Lighthouse,WT,13.0,2022051911,2022060410,383.0,11,0.22320068180561065,0.5107529759407043,7.0791
18,Kiel Lighthouse,SZ,4.0,2023082623,2023091110,371.0,19,0.08337297216057778,0.15221436321735382,1.0166
19,Kiel Lighthouse,SZ,8.0,2024062211,2024063000,181.0,23,0.06470141559839249,0.41675087809562683,4.0163
20,Kiel Lighthouse,SZ,13.0,2023100513,2023102011,358.0,16,0.21878974735736847,0.8005824089050293,9.3295
21,North Sea Buoy II,WT,3.0,2022081308,2022082111,195.0,12,0.13475707080215216,0.05055063217878342,0.2232
22,North Sea Buoy II,WT,6.0,2022081308,2022082111,195.0,12,0.10892365624507268,0.041914768517017365,0.1751
23,North Sea Buoy II,WT,11.0,2022081308,2022082111,195.0,18,0.17152587851402737,0.6117662191390991,1.904
24,North Sea Buoy II,WT,15.0,2022062112,2022070309,285.0,25,0.08016788121312857,0.9289745688438416,5.7257
25,North Sea Buoy II,WT,20.0,2022082207,2022090115,248.0,11,0.24780062337716421,0.7336609959602356,4.3699
26,North Sea Buoy II,WT,25.0,2022071802,2022081108,582.0,16,0.14011989826602594,0.33559703826904297,2.8156
27,North Sea Buoy II,WT,30.0,2022082207,2022090115,248.0,13,0.28258517881234485,0.3071933090686798,1.5723
28,North Sea Buoy II,WT,35.0,2021082415,2021093005,878.0,16,0.09636717018756,0.5305742621421814,7.8471
29,North Sea Buoy II,SZ,6.0,2022081308,2022082111,195.0,15,0.34263771524031955,0.8099534511566162,4.4698
30,North Sea Buoy II,SZ,11.0,2022032808,2022051806,1222.0,23,0.05547392737741272,0.6031851768493652,8.3614
31,North Sea Buoy II,SZ,35.0,2023091410,2023092808,334.0,11,0.2527645714581013,0.08088017255067825,0.4822
32,North Sea Buoy III,WT,2.0,2021060916,2021072718,1154.0,14,0.15950558421512445,0.37765413522720337,3.9778
33,North Sea Buoy III,WT,3.0,2022050114,2022062121,1231.0,13,0.14686683664719263,2.4465105533599854,31.8331
34,North Sea Buoy III,WT,6.0,2020052011,2020061401,590.0,17,0.12162911200097629,0.17275159060955048,1.2042
35,North Sea Buoy III,WT,11.0,2020061511,2020062508,237.0,36,0.027344896084590193,0.7903020977973938,3.4619
36,North Sea Buoy III,WT,15.0,2021073004,2021081006,266.0,13,0.26601434747378033,0.017023567110300064,0.1129
37,North Sea Buoy III,WT,20.0,2020052009,2020060904,475.0,17,0.09884705829123656,0.1893225461244583,1.6571
38,North Sea Buoy III,WT,25.0,2022052711,2022060404,185.0,12,0.3844001889228821,0.1476902961730957,0.6785
39,North Sea Buoy III,WT,30.0,2023072906,2023080815,249.0,12,0.16998982398460308,0.014028898440301418,0.0794
40,North Sea Buoy III,WT,35.0,2020061705,2020071207,602.0,18,0.22449971176683903,0.4791371524333954,2.9506
41,North Sea Buoy III,SZ,6.0,2023042711,2023052913,770.0,15,0.1322362307459116,0.030424371361732483,0.2662
42,North Sea Buoy III,SZ,11.0,2021060916,2021072718,1154.0,16,0.17487318677206834,1.76248037815094,13.6022
43,North Sea Buoy III,SZ,35.0,2023110406,2023111517,275.0,19,0.060158683510962874,1.3332066535949707,15.4422
